"Page type","ICD-O-3 Hist/behav","Summary Interval","Derived AJCC Stage Group, 6th ed (2004-2015)","N","Cause-Spec"
Survival Summary Page,"8252/3: Bronchiolo-alveolar carcinoma, non-mucinous",84 mo,IVC,0, 
Survival Summary Page,"8252/3: Bronchiolo-alveolar carcinoma, non-mucinous",84 mo,NA,0, 
Survival Summary Page,"8252/3: Bronchiolo-alveolar carcinoma, non-mucinous",84 mo,OCCULT,7,53.571
Survival Summary Page,"8252/3: Bronchiolo-alveolar carcinoma, non-mucinous",84 mo,UNK Stage,9,41.667
Survival Summary Page,"8252/3: Bronchiolo-alveolar carcinoma, non-mucinous",84 mo,Blank(s),134,62.066
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,0,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,0a,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,0is,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,I,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,INOS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IA,120,85.079
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IA1,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IA2,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IB,144,60.008
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IB1,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IB2,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IC,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IEA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IEB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IE,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,ISA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,ISB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,II,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IINOS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIA,1,0.000
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIB,12,25.000
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIC,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIEA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIEB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIE,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IISA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IISB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIESA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIESB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIES,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,III,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIINOS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIA,6,33.333
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIB,26,39.981
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIC,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIEA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIEB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIE,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIISA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIISB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIESA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIESB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IIIES,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IV,93,6.637
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IVNOS,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IVA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IVB,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,IVC,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,NA,0, 
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,OCCULT,9,0.000
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,UNK Stage,8,0.000
Survival Summary Page,"8253/3: Bronchiolo-alveolar carcinoma, mucinous",84 mo,Blank(s),160,36.562
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,0,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,0a,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,0is,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,I,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,INOS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IA,17,80.882
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IA1,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IA2,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IB,9,50.794
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IB1,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IB2,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IC,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IEA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IEB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IE,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,ISA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,ISB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,II,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IINOS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIB,1,100.000
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIC,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIEA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIEB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIE,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IISA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IISB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIESA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIESB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIES,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,III,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIINOS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIA,2,50.000
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIB,6,33.333
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIC,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIEA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIEB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIE,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIISA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIISB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIESA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIESB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IIIES,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IV,2,0.000
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IVNOS,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IVA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IVB,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,IVC,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,NA,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,OCCULT,0, 
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,UNK Stage,1,0.000
Survival Summary Page,"8254/3: Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",84 mo,Blank(s),16,72.545
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,0,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,0a,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,0is,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,I,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,INOS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IA,299,82.151
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IA1,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IA2,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IB,208,62.222
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IB1,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IB2,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IC,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IEA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IEB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IE,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,ISA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,ISB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,II,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IINOS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIA,39,50.289
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIB,61,37.177
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIC,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIEA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIEB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIE,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IISA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IISB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIESA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIESB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIES,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,III,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIINOS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIA,96,30.006
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIB,95,50.748
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIC,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIEA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIEB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIE,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIISA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIISB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIESA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIESB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IIIES,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IV,126,17.581
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IVNOS,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IVA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IVB,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,IVC,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,NA,0, 
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,OCCULT,2,50.000
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,UNK Stage,15,45.000
Survival Summary Page,8255/3: Adenocarcinoma with mixed subtypes,84 mo,Blank(s),153,43.659
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,0,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,0a,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,0is,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,I,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,INOS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IA,132,75.304
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IA1,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IA2,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IB,107,57.655
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IB1,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IB2,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IC,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IEA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IEB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IE,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,ISA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,ISB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,II,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IINOS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIA,8,62.500
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIB,24,17.460
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIC,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIEA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIEB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIE,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IISA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IISB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIESA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIESB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIES,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,III,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIINOS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIA,55,32.945
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIB,64,21.348
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIC,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIEA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIEB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIE,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIISA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIISB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIESA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIESB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IIIES,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IV,243,2.738
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IVNOS,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IVA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IVB,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,IVC,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,NA,0, 
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,OCCULT,4,0.000
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,UNK Stage,26,4.892
Survival Summary Page,"8260/3: Papillary adenocarcinoma, NOS",84 mo,Blank(s),506,28.111
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,0,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,0a,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,0is,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,I,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,INOS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IA1,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IA2,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IB1,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IB2,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IC,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IEA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IEB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IE,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,ISA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,ISB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,II,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IINOS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIC,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIEA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIEB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIE,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IISA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IISB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIESA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIESB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIES,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,III,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIINOS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIC,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIEA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIEB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIE,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIISA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIISB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIESA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIESB,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IIIES,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IV,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IVNOS,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IVA,0, 
Survival Summary Page,8263/3: Adenocarcinoma in tubulovillous adenoma,84 mo,IVB,0, 
